DCS-ID,SC-ID,BOARD,SLOT,SYSTEM,NAME,CAL-ID,W-CABLE,FLANGE,CHAN,X,Y,Z,COMMENT,COMMENT2
48028538896666,TE0281,12,3,GA-1,1G13,13,T_GAR/9.1.23,,,4000,7858,2000,,
48028555673882,TE0282,12,3,GA-1,1G14,14,T_GAR/9.1.23,,,4000,7898,2000,,
48028572451098,TE0283,12,4,GA-2,GA-2.1,48848,T_GAR/9.1.24,,,4000,7338,4000,,
48028589228314,TE0284,12,4,GA-2,GA-2.2,48485,T_GAR/9.1.24,,,4000,7358,4000,,
48028606005530,TE0285,12,4,GA-2,GA-2.3,48478,T_GAR/9.1.24,,,4000,7378,4000,,
48028622782746,TE0286,12,4,GA-2,GA-2.4,48205,T_GAR/9.1.24,,,4000,7398,4000,,
48028639559962,TE0287,12,4,GA-2,2G1,15,T_GAR/9.1.24,,,4000,7418,4000,,
48028656337178,TE0288,12,4,GA-2,2G2,16,T_GAR/9.1.24,,,4000,7458,4000,,
48028673114394,TE0289,13,1,GA-2,2G3,17,T_GAR/9.1.25,,,4000,7518,4000,,
48028689891610,TE0290,13,1,GA-2,2G4,18,T_GAR/9.1.25,,,4000,7578,4000,,
48028706668826,TE0291,13,1,GA-2,2G5,19,T_GAR/9.1.25,,,4000,7638,4000,,
48028723446042,TE0292,13,1,GA-2,2G6,20,T_GAR/9.1.25,,,4000,7698,4000,,
48028757000474,TE0294,13,1,GA-2,2G7,21,T_GAR/9.1.25,,,4000,7718,4000,,
48028773777690,TE0295,13,1,GA-2,2G8,22,T_GAR/9.1.25,,,4000,7738,4000,,
48028790554906,TE0296,13,2,GA-2,2G9,23,T_GAR/9.1.26,,,4000,7758,4000,,
48028807332122,TE0297,13,2,GA-2,2G10,24,T_GAR/9.1.26,,,4000,7778,4000,,
48028824109338,TE0298,13,2,GA-2,2G11,25,T_GAR/9.1.26,,,4000,7798,4000,,
48028840886554,TE0299,13,2,GA-2,2G12,26,T_GAR/9.1.26,,,4000,7838,4000,,
48028857663770,TE0300,13,2,GA-2,2G13,27,T_GAR/9.1.26,,,4000,7858,4000,,
48028874440986,TE0301,13,2,GA-2,2G14,28,T_GAR/9.1.26,,,4000,7898,4000,,
48028891218202,TE0302,13,3,,,,,,,,,,,
48028907995418,TE0303,13,3,,,,,,,,,,,
48028924772634,TE0304,13,3,,,,,,,,,,,
48028941549850,TE0305,13,3,,,,,,,,,,,
48028958327066,TE0306,13,3,,,,,,,,,,,
48028975104282,TE0307,13,3,,,,,,,,,,,
48029008658714,TE0309,13,4,,,,,,,,,,,
48029025435930,TE0310,13,4,,,,,,,,,,,
48029042213146,TE0311,13,4,,,,,,,,,,,
48029075767578,TE0313,13,4,,,,,,,,,,,
48029092544794,TE0314,13,4,,,,,,,,,,,
48029109322010,TE0315,13,4,,,,,,,,,,,
48029126099226,TE0316,,,,,,,,,,,,,
48029159653658,TE0318,,,,,,,,,,,,,
48029176430874,TE0319,,,,,,,,,,,,,
48029193208090,TE0320,,,,,,,,,,,,,
48004547477786,IE_Card01,,,CURRENT,B1,1001,,,,,,,,
48004564255002,IE_Card02,,,CURRENT,B2,1002,,,,,,,,
48004581032218,IE_Card03,,,CURRENT,B3,1003,,,,,,,,
48004597809434,IE_Card04,,,CURRENT,B4,1004,,,,,,,,
48004614586650,IE_Card05,,,CURRENT,B5,1005,,,,,,,,
48004631363866,IE_Card06,,,CURRENT,B6,1006,,,,,,,,
48004648141082,IE_Card07,,,CURRENT,B7,1007,,,,,,,,
48004664918298,IE_Card08,,,CURRENT,B8,1008,,,,,,,,
48004681695514,IE_Card09,,,CURRENT,B9,1009,,,,,,,,
77149407019290,IE_Card10,,,CURRENT,B10,1010,,,,,,,,
47931835023642,PT4910,,,CRYO,INNER_P1,1011,,,,,,,NP04_DCS_01:NP04_4PT4910 (bar),
47931851800858,PT4920,,,CRYO,INNER_P2,1012,,,,,,,NP04_DCS_01:NP04_4PT4910 (bar),
48001913454874,Heinz_VRaw,,,HV,V,1013,,,,,,,,
47894757376282,Heinz_I,,,HV,I,1014,,,,,,,,
47879272028954,PT0110_REL,,,CRYO,I3,1015,,,,,,,RELATIVE MBAR,
